"data";"valor"
"01/03/2011";"1,58"
"01/04/2011";"2,07"
"01/05/2011";"2,44"
"01/06/2011";"3,02"
"01/07/2011";"3,23"
"01/08/2011";"3,48"
"01/09/2011";"3,13"
"01/10/2011";"2,47"
"01/11/2011";"2,84"
"01/12/2011";"3,92"
"01/01/2012";"4,10"
"01/02/2012";"3,79"
"01/03/2012";"3,77"
"01/04/2012";"4,21"
"01/05/2012";"4,21"
"01/06/2012";"4,49"
"01/07/2012";"5,10"
"01/08/2012";"5,60"
"01/09/2012";"5,95"
"01/10/2012";"6,11"
"01/11/2012";"6,26"
"01/12/2012";"6,16"
"01/01/2013";"6,11"
"01/02/2013";"5,56"
"01/03/2013";"4,92"
"01/04/2013";"3,76"
"01/05/2013";"3,45"
"01/06/2013";"2,70"
"01/07/2013";"1,80"
"01/08/2013";"1,68"
"01/09/2013";"1,52"
"01/10/2013";"1,38"
"01/11/2013";"0,59"
"01/12/2013";"0,51"
"01/01/2014";"0,50"
"01/02/2014";"0,44"
"01/03/2014";"0,38"
"01/04/2014";"0,36"
"01/05/2014";"0,35"
"01/06/2014";"0,34"
"01/07/2014";"0,33"
"01/08/2014";"0,32"
"01/09/2014";"0,32"
"01/10/2014";"0,34"
"01/11/2014";"0,33"
"01/12/2014";"0,34"
"01/01/2015";"0,32"
"01/02/2015";"0,33"
"01/03/2015";"0,44"
"01/04/2015";"0,45"
"01/05/2015";"0,46"
"01/06/2015";"0,46"
"01/07/2015";"0,49"
"01/08/2015";"0,61"
"01/09/2015";"0,54"
"01/10/2015";"0,56"
"01/11/2015";"0,59"
"01/12/2015";"0,65"
"01/01/2016";"0,68"
"01/02/2016";"0,68"
"01/03/2016";"0,66"
"01/04/2016";"0,65"
"01/05/2016";"0,63"
"01/06/2016";"0,59"
"01/07/2016";"0,61"
"01/08/2016";"0,63"
"01/09/2016";"0,63"
"01/10/2016";"0,98"
"01/11/2016";"1,06"
"01/12/2016";"1,14"
"01/01/2017";"1,20"
"01/02/2017";"1,23"
"01/03/2017";"1,20"
"01/04/2017";"2,03"
"01/05/2017";"1,67"
"01/06/2017";"1,28"
"01/07/2017";"1,14"
"01/08/2017";"1,38"
"01/09/2017";"1,62"
"01/10/2017";"1,65"
"01/11/2017";"1,63"
"01/12/2017";"1,70"
"01/01/2018";"1,90"
"01/02/2018";"1,97"
"01/03/2018";"1,90"
"01/04/2018";"1,92"
"01/05/2018";"1,96"
"01/06/2018";"2,01"
"01/07/2018";"2,09"
"01/08/2018";"2,23"
"01/09/2018";"2,38"
"01/10/2018";"2,93"
"01/11/2018";"3,19"
"01/12/2018";"2,86"
"01/01/2019";"3,18"
"01/02/2019";"3,21"
"01/03/2019";"3,20"
"01/04/2019";"3,36"
"01/05/2019";"3,70"
"01/06/2019";"3,03"
"01/07/2019";"3,26"
"01/08/2019";"3,46"
"01/09/2019";"3,75"
"01/10/2019";"4,03"
"01/11/2019";"4,40"
"01/12/2019";"4,94"
"01/01/2020";"5,03"
"01/02/2020";"5,22"
"01/03/2020";"4,63"
"01/04/2020";"4,66"
"01/05/2020";"5,03"
"01/06/2020";"4,95"
"01/07/2020";"5,03"
"01/08/2020";"4,93"
"01/09/2020";"4,71"
"01/10/2020";"4,78"
"01/11/2020";"4,69"
"01/12/2020";"4,78"
"01/01/2021";"4,68"
"01/02/2021";"4,47"
"01/03/2021";"4,29"
"01/04/2021";"4,44"
"01/05/2021";"4,69"
"01/06/2021";"4,44"
"01/07/2021";"4,59"
"01/08/2021";"4,69"
"01/09/2021";"5,00"
"01/10/2021";"5,14"
"01/11/2021";"5,49"
"01/12/2021";"5,59"
"01/01/2022";"5,60"
"01/02/2022";"5,55"
"01/03/2022";"5,70"
"01/04/2022";"5,92"
"01/05/2022";"5,58"
"01/06/2022";"5,99"
"01/07/2022";"6,53"
"01/08/2022";"6,03"
"01/09/2022";"6,54"
"01/10/2022";"6,94"
"01/11/2022";"6,88"
"01/12/2022";"7,44"
"01/01/2023";"8,08"
"01/02/2023";"8,59"
"01/03/2023";"8,27"
"01/04/2023";"8,68"
"01/05/2023";"9,48"
"01/06/2023";"9,66"
"01/07/2023";"10,05"
"01/08/2023";"10,18"
"01/09/2023";"10,52"
"01/10/2023";"10,00"
"01/11/2023";"9,63"
"01/12/2023";"10,09"
"01/01/2024";"9,79"
"01/02/2024";"9,64"
"01/03/2024";"10,03"
"01/04/2024";"10,14"
"01/05/2024";"10,76"
"01/06/2024";"11,01"
"01/07/2024";"11,33"
"01/08/2024";"11,49"
"01/09/2024";"11,90"
"01/10/2024";"11,79"
"01/11/2024";"11,77"
"01/12/2024";"11,78"
"01/01/2025";"10,81"
"01/02/2025";"11,24"
"01/03/2025";"11,14"
"01/04/2025";"11,48"
"01/05/2025";"12,01"
"01/06/2025";"12,89"
"01/07/2025";"13,16"
"01/08/2025";"13,21"
"01/09/2025";"13,18"
"01/10/2025";"12,74"
"01/11/2025";"12,88"
