"data";"valor"
"01/03/2011";"30,06"
"01/04/2011";"29,18"
"01/05/2011";"31,80"
"01/06/2011";"32,54"
"01/07/2011";"34,73"
"01/08/2011";"37,06"
"01/09/2011";"36,47"
"01/10/2011";"36,23"
"01/11/2011";"36,87"
"01/12/2011";"38,97"
"01/01/2012";"38,27"
"01/02/2012";"36,41"
"01/03/2012";"36,46"
"01/04/2012";"35,90"
"01/05/2012";"36,97"
"01/06/2012";"36,61"
"01/07/2012";"37,23"
"01/08/2012";"37,01"
"01/09/2012";"35,92"
"01/10/2012";"37,05"
"01/11/2012";"36,30"
"01/12/2012";"37,77"
"01/01/2013";"36,64"
"01/02/2013";"33,87"
"01/03/2013";"33,54"
"01/04/2013";"34,62"
"01/05/2013";"34,95"
"01/06/2013";"33,61"
"01/07/2013";"34,79"
"01/08/2013";"34,69"
"01/09/2013";"34,11"
"01/10/2013";"34,65"
"01/11/2013";"33,86"
"01/12/2013";"35,98"
"01/01/2014";"34,45"
"01/02/2014";"31,53"
"01/03/2014";"31,93"
"01/04/2014";"32,14"
"01/05/2014";"33,84"
"01/06/2014";"32,57"
"01/07/2014";"35,23"
"01/08/2014";"35,36"
"01/09/2014";"36,46"
"01/10/2014";"36,71"
"01/11/2014";"34,99"
"01/12/2014";"37,15"
"01/01/2015";"36,23"
"01/02/2015";"34,05"
"01/03/2015";"34,09"
"01/04/2015";"34,50"
"01/05/2015";"35,40"
"01/06/2015";"35,52"
"01/07/2015";"37,22"
"01/08/2015";"37,63"
"01/09/2015";"38,16"
"01/10/2015";"38,48"
"01/11/2015";"37,77"
"01/12/2015";"40,38"
"01/01/2016";"39,58"
"01/02/2016";"35,81"
"01/03/2016";"36,60"
"01/04/2016";"36,40"
"01/05/2016";"37,45"
"01/06/2016";"36,80"
"01/07/2016";"36,96"
"01/08/2016";"36,95"
"01/09/2016";"36,10"
"01/10/2016";"36,11"
"01/11/2016";"35,55"
"01/12/2016";"37,20"
"01/01/2017";"36,06"
"01/02/2017";"33,22"
"01/03/2017";"34,48"
"01/04/2017";"34,41"
"01/05/2017";"38,02"
"01/06/2017";"38,62"
"01/07/2017";"39,42"
"01/08/2017";"38,97"
"01/09/2017";"38,22"
"01/10/2017";"37,32"
"01/11/2017";"36,18"
"01/12/2017";"37,25"
"01/01/2018";"35,77"
"01/02/2018";"33,24"
"01/03/2018";"34,20"
"01/04/2018";"33,74"
"01/05/2018";"34,87"
"01/06/2018";"34,01"
"01/07/2018";"36,10"
"01/08/2018";"36,43"
"01/09/2018";"36,52"
"01/10/2018";"36,39"
"01/11/2018";"34,99"
"01/12/2018";"36,55"
"01/01/2019";"35,69"
"01/02/2019";"33,58"
"01/03/2019";"34,50"
"01/04/2019";"34,24"
"01/05/2019";"34,75"
"01/06/2019";"33,49"
"01/07/2019";"34,83"
"01/08/2019";"35,89"
"01/09/2019";"36,09"
"01/10/2019";"36,92"
"01/11/2019";"36,83"
"01/12/2019";"37,95"
"01/01/2020";"34,60"
"01/02/2020";"35,99"
"01/03/2020";"38,87"
"01/04/2020";"39,21"
"01/05/2020";"41,59"
"01/06/2020";"42,49"
"01/07/2020";"44,13"
"01/08/2020";"43,85"
"01/09/2020";"42,94"
"01/10/2020";"41,71"
"01/11/2020";"35,98"
"01/12/2020";"37,12"
"01/01/2021";"34,42"
"01/02/2021";"30,41"
"01/03/2021";"30,12"
"01/04/2021";"28,67"
"01/05/2021";"29,89"
"01/06/2021";"30,98"
"01/07/2021";"32,59"
"01/08/2021";"32,95"
"01/09/2021";"36,67"
"01/10/2021";"37,30"
"01/11/2021";"36,68"
"01/12/2021";"39,47"
"01/01/2022";"39,80"
"01/02/2022";"38,19"
"01/03/2022";"41,25"
"01/04/2022";"42,91"
"01/05/2022";"45,03"
"01/06/2022";"44,24"
"01/07/2022";"46,13"
"01/08/2022";"46,84"
"01/09/2022";"46,10"
"01/10/2022";"47,06"
"01/11/2022";"46,72"
"01/12/2022";"48,75"
"01/01/2023";"49,79"
"01/02/2023";"48,02"
"01/03/2023";"52,12"
"01/04/2023";"52,08"
"01/05/2023";"52,99"
"01/06/2023";"52,46"
"01/07/2023";"53,09"
"01/08/2023";"53,02"
"01/09/2023";"52,93"
"01/10/2023";"54,86"
"01/11/2023";"53,06"
"01/12/2023";"53,86"
"01/01/2024";"53,63"
"01/02/2024";"52,42"
"01/03/2024";"51,80"
"01/04/2024";"53,06"
"01/05/2024";"55,28"
"01/06/2024";"53,09"
"01/07/2024";"54,78"
"01/08/2024";"55,39"
"01/09/2024";"54,47"
"01/10/2024";"55,03"
"01/11/2024";"53,81"
"01/12/2024";"54,70"
"01/01/2025";"55,02"
"01/02/2025";"54,56"
"01/03/2025";"55,66"
"01/04/2025";"56,79"
"01/05/2025";"58,60"
"01/06/2025";"57,17"
"01/07/2025";"60,28"
"01/08/2025";"60,49"
"01/09/2025";"61,27"
"01/10/2025";"56,74"
"01/11/2025";"57,02"
