"data";"valor"
"01/03/2011";"7,63"
"01/04/2011";"7,65"
"01/05/2011";"7,91"
"01/06/2011";"7,99"
"01/07/2011";"8,46"
"01/08/2011";"8,82"
"01/09/2011";"8,89"
"01/10/2011";"8,78"
"01/11/2011";"8,86"
"01/12/2011";"8,54"
"01/01/2012";"8,74"
"01/02/2012";"8,79"
"01/03/2012";"8,70"
"01/04/2012";"8,68"
"01/05/2012";"8,68"
"01/06/2012";"8,68"
"01/07/2012";"8,56"
"01/08/2012";"8,53"
"01/09/2012";"8,67"
"01/10/2012";"8,41"
"01/11/2012";"8,13"
"01/12/2012";"7,75"
"01/01/2013";"7,60"
"01/02/2013";"7,64"
"01/03/2013";"7,54"
"01/04/2013";"7,48"
"01/05/2013";"7,36"
"01/06/2013";"7,26"
"01/07/2013";"7,11"
"01/08/2013";"7,03"
"01/09/2013";"6,98"
"01/10/2013";"6,80"
"01/11/2013";"6,67"
"01/12/2013";"6,38"
"01/01/2014";"6,30"
"01/02/2014";"6,35"
"01/03/2014";"6,31"
"01/04/2014";"6,50"
"01/05/2014";"6,67"
"01/06/2014";"6,66"
"01/07/2014";"6,95"
"01/08/2014";"6,97"
"01/09/2014";"7,23"
"01/10/2014";"7,21"
"01/11/2014";"6,92"
"01/12/2014";"6,59"
"01/01/2015";"6,69"
"01/02/2015";"6,96"
"01/03/2015";"6,72"
"01/04/2015";"7,06"
"01/05/2015";"7,31"
"01/06/2015";"7,21"
"01/07/2015";"7,48"
"01/08/2015";"7,64"
"01/09/2015";"8,00"
"01/10/2015";"8,21"
"01/11/2015";"8,15"
"01/12/2015";"8,07"
"01/01/2016";"8,38"
"01/02/2016";"7,98"
"01/03/2016";"8,04"
"01/04/2016";"8,28"
"01/05/2016";"8,33"
"01/06/2016";"8,28"
"01/07/2016";"8,34"
"01/08/2016";"8,17"
"01/09/2016";"8,16"
"01/10/2016";"8,09"
"01/11/2016";"7,79"
"01/12/2016";"7,68"
"01/01/2017";"7,66"
"01/02/2017";"7,69"
"01/03/2017";"7,45"
"01/04/2017";"7,60"
"01/05/2017";"7,63"
"01/06/2017";"7,43"
"01/07/2017";"7,32"
"01/08/2017";"7,08"
"01/09/2017";"7,00"
"01/10/2017";"6,75"
"01/11/2017";"6,39"
"01/12/2017";"6,14"
"01/01/2018";"5,93"
"01/02/2018";"6,01"
"01/03/2018";"5,94"
"01/04/2018";"5,95"
"01/05/2018";"5,95"
"01/06/2018";"5,90"
"01/07/2018";"5,96"
"01/08/2018";"5,92"
"01/09/2018";"6,04"
"01/10/2018";"5,91"
"01/11/2018";"5,62"
"01/12/2018";"5,52"
"01/01/2019";"5,57"
"01/02/2019";"5,64"
"01/03/2019";"5,66"
"01/04/2019";"5,70"
"01/05/2019";"5,71"
"01/06/2019";"5,62"
"01/07/2019";"5,64"
"01/08/2019";"5,97"
"01/09/2019";"6,15"
"01/10/2019";"6,14"
"01/11/2019";"6,13"
"01/12/2019";"6,00"
"01/01/2020";"5,70"
"01/02/2020";"6,29"
"01/03/2020";"6,59"
"01/04/2020";"7,53"
"01/05/2020";"7,76"
"01/06/2020";"7,48"
"01/07/2020";"7,31"
"01/08/2020";"6,76"
"01/09/2020";"6,25"
"01/10/2020";"5,82"
"01/11/2020";"4,79"
"01/12/2020";"4,45"
"01/01/2021";"4,33"
"01/02/2021";"4,12"
"01/03/2021";"3,86"
"01/04/2021";"3,76"
"01/05/2021";"3,83"
"01/06/2021";"3,94"
"01/07/2021";"4,01"
"01/08/2021";"4,09"
"01/09/2021";"4,63"
"01/10/2021";"4,79"
"01/11/2021";"4,74"
"01/12/2021";"4,97"
"01/01/2022";"5,45"
"01/02/2022";"5,76"
"01/03/2022";"5,83"
"01/04/2022";"6,29"
"01/05/2022";"6,54"
"01/06/2022";"6,58"
"01/07/2022";"7,03"
"01/08/2022";"7,26"
"01/09/2022";"7,56"
"01/10/2022";"7,80"
"01/11/2022";"7,77"
"01/12/2022";"7,89"
"01/01/2023";"8,23"
"01/02/2023";"8,55"
"01/03/2023";"8,53"
"01/04/2023";"8,84"
"01/05/2023";"8,86"
"01/06/2023";"8,65"
"01/07/2023";"8,52"
"01/08/2023";"8,42"
"01/09/2023";"8,30"
"01/10/2023";"8,16"
"01/11/2023";"7,54"
"01/12/2023";"7,41"
"01/01/2024";"7,26"
"01/02/2024";"7,32"
"01/03/2024";"7,28"
"01/04/2024";"7,45"
"01/05/2024";"7,55"
"01/06/2024";"7,47"
"01/07/2024";"7,37"
"01/08/2024";"7,51"
"01/09/2024";"7,51"
"01/10/2024";"7,29"
"01/11/2024";"7,03"
"01/12/2024";"6,83"
"01/01/2025";"7,12"
"01/02/2025";"7,43"
"01/03/2025";"7,78"
"01/04/2025";"8,23"
"01/05/2025";"8,48"
"01/06/2025";"8,52"
"01/07/2025";"8,75"
"01/08/2025";"8,98"
"01/09/2025";"9,08"
"01/10/2025";"8,57"
"01/11/2025";"8,61"
