"data";"valor"
"01/03/2011";"10,82"
"01/04/2011";"10,97"
"01/05/2011";"10,95"
"01/06/2011";"10,84"
"01/07/2011";"11,60"
"01/08/2011";"12,35"
"01/09/2011";"12,36"
"01/10/2011";"12,32"
"01/11/2011";"12,31"
"01/12/2011";"13,56"
"01/01/2012";"13,27"
"01/02/2012";"12,45"
"01/03/2012";"13,03"
"01/04/2012";"12,68"
"01/05/2012";"13,62"
"01/06/2012";"13,53"
"01/07/2012";"13,41"
"01/08/2012";"14,40"
"01/09/2012";"14,13"
"01/10/2012";"13,83"
"01/11/2012";"13,69"
"01/12/2012";"15,68"
"01/01/2013";"14,76"
"01/02/2013";"13,43"
"01/03/2013";"13,69"
"01/04/2013";"12,73"
"01/05/2013";"13,71"
"01/06/2013";"13,27"
"01/07/2013";"12,94"
"01/08/2013";"13,11"
"01/09/2013";"12,95"
"01/10/2013";"12,59"
"01/11/2013";"12,08"
"01/12/2013";"13,43"
"01/01/2014";"12,80"
"01/02/2014";"12,15"
"01/03/2014";"11,72"
"01/04/2014";"11,85"
"01/05/2014";"12,72"
"01/06/2014";"12,49"
"01/07/2014";"13,24"
"01/08/2014";"13,91"
"01/09/2014";"14,04"
"01/10/2014";"14,57"
"01/11/2014";"14,92"
"01/12/2014";"13,79"
"01/01/2015";"13,69"
"01/02/2015";"13,61"
"01/03/2015";"12,82"
"01/04/2015";"13,44"
"01/05/2015";"14,28"
"01/06/2015";"14,32"
"01/07/2015";"14,89"
"01/08/2015";"15,47"
"01/09/2015";"15,28"
"01/10/2015";"14,28"
"01/11/2015";"15,00"
"01/12/2015";"18,06"
"01/01/2016";"16,88"
"01/02/2016";"16,12"
"01/03/2016";"15,32"
"01/04/2016";"14,47"
"01/05/2016";"14,86"
"01/06/2016";"14,68"
"01/07/2016";"15,68"
"01/08/2016";"16,10"
"01/09/2016";"15,70"
"01/10/2016";"15,69"
"01/11/2016";"15,31"
"01/12/2016";"17,43"
"01/01/2017";"16,15"
"01/02/2017";"15,95"
"01/03/2017";"15,44"
"01/04/2017";"15,01"
"01/05/2017";"15,47"
"01/06/2017";"15,20"
"01/07/2017";"14,78"
"01/08/2017";"15,71"
"01/09/2017";"15,26"
"01/10/2017";"14,82"
"01/11/2017";"14,20"
"01/12/2017";"16,23"
"01/01/2018";"15,19"
"01/02/2018";"13,47"
"01/03/2018";"13,96"
"01/04/2018";"13,29"
"01/05/2018";"13,18"
"01/06/2018";"13,30"
"01/07/2018";"13,26"
"01/08/2018";"14,12"
"01/09/2018";"14,00"
"01/10/2018";"14,09"
"01/11/2018";"13,58"
"01/12/2018";"15,36"
"01/01/2019";"14,23"
"01/02/2019";"13,23"
"01/03/2019";"13,37"
"01/04/2019";"13,35"
"01/05/2019";"14,40"
"01/06/2019";"14,05"
"01/07/2019";"14,43"
"01/08/2019";"14,73"
"01/09/2019";"15,69"
"01/10/2019";"16,18"
"01/11/2019";"15,94"
"01/12/2019";"17,57"
"01/01/2020";"16,71"
"01/02/2020";"15,47"
"01/03/2020";"15,32"
"01/04/2020";"15,99"
"01/05/2020";"17,03"
"01/06/2020";"16,64"
"01/07/2020";"16,50"
"01/08/2020";"15,92"
"01/09/2020";"14,97"
"01/10/2020";"13,37"
"01/11/2020";"12,71"
"01/12/2020";"13,44"
"01/01/2021";"11,40"
"01/02/2021";"10,43"
"01/03/2021";"9,78"
"01/04/2021";"9,44"
"01/05/2021";"9,75"
"01/06/2021";"9,45"
"01/07/2021";"11,35"
"01/08/2021";"10,17"
"01/09/2021";"10,00"
"01/10/2021";"9,72"
"01/11/2021";"10,02"
"01/12/2021";"11,51"
"01/01/2022";"10,92"
"01/02/2022";"11,08"
"01/03/2022";"11,12"
"01/04/2022";"11,12"
"01/05/2022";"11,51"
"01/06/2022";"11,56"
"01/07/2022";"11,61"
"01/08/2022";"12,53"
"01/09/2022";"12,74"
"01/10/2022";"12,53"
"01/11/2022";"12,65"
"01/12/2022";"13,55"
"01/01/2023";"13,40"
"01/02/2023";"12,00"
"01/03/2023";"12,40"
"01/04/2023";"12,63"
"01/05/2023";"13,11"
"01/06/2023";"12,96"
"01/07/2023";"13,21"
"01/08/2023";"12,29"
"01/09/2023";"11,93"
"01/10/2023";"12,80"
"01/11/2023";"15,60"
"01/12/2023";"13,63"
"01/01/2024";"12,88"
"01/02/2024";"12,13"
"01/03/2024";"12,04"
"01/04/2024";"11,51"
"01/05/2024";"11,22"
"01/06/2024";"12,37"
"01/07/2024";"12,13"
"01/08/2024";"11,80"
"01/09/2024";"13,25"
"01/10/2024";"11,69"
"01/11/2024";"11,31"
"01/12/2024";"12,65"
"01/01/2025";"13,05"
"01/02/2025";"13,02"
"01/03/2025";"12,61"
"01/04/2025";"12,94"
"01/05/2025";"13,68"
"01/06/2025";"13,96"
"01/07/2025";"15,09"
"01/08/2025";"14,97"
"01/09/2025";"14,44"
"01/10/2025";"13,96"
"01/11/2025";"13,96"
