"data";"valor"
"01/03/2007";"16358"
"01/04/2007";"16555"
"01/05/2007";"18389"
"01/06/2007";"18603"
"01/07/2007";"20042"
"01/08/2007";"19698"
"01/09/2007";"19636"
"01/10/2007";"20630"
"01/11/2007";"21339"
"01/12/2007";"24716"
"01/01/2008";"23932"
"01/02/2008";"22673"
"01/03/2008";"25019"
"01/04/2008";"27049"
"01/05/2008";"28499"
"01/06/2008";"29012"
"01/07/2008";"29986"
"01/08/2008";"30047"
"01/09/2008";"30372"
"01/10/2008";"31379"
"01/11/2008";"31080"
"01/12/2008";"37320"
"01/01/2009";"33729"
"01/02/2009";"33042"
"01/03/2009";"33025"
"01/04/2009";"33793"
"01/05/2009";"40454"
"01/06/2009";"42073"
"01/07/2009";"42975"
"01/08/2009";"43471"
"01/09/2009";"44261"
"01/10/2009";"45856"
"01/11/2009";"47432"
"01/12/2009";"54141"
"01/01/2010";"52033"
"01/02/2010";"49573"
"01/03/2010";"50752"
"01/04/2010";"50869"
"01/05/2010";"53495"
"01/06/2010";"53855"
"01/07/2010";"55113"
"01/08/2010";"57284"
"01/09/2010";"57384"
"01/10/2010";"58802"
"01/11/2010";"63059"
"01/12/2010";"70895"
"01/01/2011";"68646"
"01/02/2011";"65639"
"01/03/2011";"65610"
"01/04/2011";"65539"
"01/05/2011";"67993"
"01/06/2011";"68659"
"01/07/2011";"69538"
"01/08/2011";"71246"
"01/09/2011";"70971"
"01/10/2011";"72036"
"01/11/2011";"74821"
"01/12/2011";"81088"
"01/01/2012";"79140"
"01/02/2012";"75208"
"01/03/2012";"75717"
"01/04/2012";"76565"
"01/05/2012";"79480"
"01/06/2012";"78857"
"01/07/2012";"80847"
"01/08/2012";"81159"
"01/09/2012";"79207"
"01/10/2012";"82556"
"01/11/2012";"84666"
"01/12/2012";"92476"
"01/01/2013";"91996"
"01/02/2013";"86500"
"01/03/2013";"86476"
"01/04/2013";"88381"
"01/05/2013";"91323"
"01/06/2013";"89657"
"01/07/2013";"93806"
"01/08/2013";"93918"
"01/09/2013";"94653"
"01/10/2013";"97491"
"01/11/2013";"98502"
"01/12/2013";"108801"
"01/01/2014";"107250"
"01/02/2014";"100963"
"01/03/2014";"102856"
"01/04/2014";"101584"
"01/05/2014";"103923"
"01/06/2014";"103280"
"01/07/2014";"104870"
"01/08/2014";"105034"
"01/09/2014";"106640"
"01/10/2014";"109245"
"01/11/2014";"109099"
"01/12/2014";"121121"
"01/01/2015";"119663"
"01/02/2015";"111990"
"01/03/2015";"113427"
"01/04/2015";"111192"
"01/05/2015";"112711"
"01/06/2015";"113630"
"01/07/2015";"115188"
"01/08/2015";"115469"
"01/09/2015";"113359"
"01/10/2015";"114188"
"01/11/2015";"119154"
"01/12/2015";"127622"
"01/01/2016";"122904"
"01/02/2016";"118911"
"01/03/2016";"118782"
"01/04/2016";"115769"
"01/05/2016";"119644"
"01/06/2016";"119821"
"01/07/2016";"120451"
"01/08/2016";"124528"
"01/09/2016";"123172"
"01/10/2016";"125446"
"01/11/2016";"130760"
"01/12/2016";"137098"
"01/01/2017";"134813"
"01/02/2017";"127850"
"01/03/2017";"131415"
"01/04/2017";"127689"
"01/05/2017";"132524"
"01/06/2017";"133418"
"01/07/2017";"137381"
"01/08/2017";"138722"
"01/09/2017";"137356"
"01/10/2017";"141329"
"01/11/2017";"148659"
"01/12/2017";"155191"
"01/01/2018";"156223"
"01/02/2018";"147486"
"01/03/2018";"149219"
"01/04/2018";"150826"
"01/05/2018";"154063"
"01/06/2018";"152911"
"01/07/2018";"158182"
"01/08/2018";"161390"
"01/09/2018";"157516"
"01/10/2018";"163215"
"01/11/2018";"173819"
"01/12/2018";"183174"
"01/01/2019";"181556"
"01/02/2019";"173356"
"01/03/2019";"174677"
"01/04/2019";"176901"
"01/05/2019";"181915"
"01/06/2019";"179132"
"01/07/2019";"187641"
"01/08/2019";"189180"
"01/09/2019";"190200"
"01/10/2019";"195160"
"01/11/2019";"201094"
"01/12/2019";"214804"
"01/01/2020";"210992"
"01/02/2020";"201885"
"01/03/2020";"191520"
"01/04/2020";"164652"
"01/05/2020";"162135"
"01/06/2020";"168244"
"01/07/2020";"177301"
"01/08/2020";"186382"
"01/09/2020";"194702"
"01/10/2020";"200955"
"01/11/2020";"217970"
"01/12/2020";"227795"
"01/01/2021";"219852"
"01/02/2021";"213995"
"01/03/2021";"215987"
"01/04/2021";"217429"
"01/05/2021";"229855"
"01/06/2021";"236592"
"01/07/2021";"245523"
"01/08/2021";"254633"
"01/09/2021";"262073"
"01/10/2021";"273547"
"01/11/2021";"298652"
"01/12/2021";"310848"
"01/01/2022";"305225"
"01/02/2022";"299620"
"01/03/2022";"316208"
"01/04/2022";"319858"
"01/05/2022";"332337"
"01/06/2022";"336018"
"01/07/2022";"339908"
"01/08/2022";"345642"
"01/09/2022";"343638"
"01/10/2022";"348633"
"01/11/2022";"361137"
"01/12/2022";"370051"
"01/01/2023";"367667"
"01/02/2023";"354662"
"01/03/2023";"365641"
"01/04/2023";"360332"
"01/05/2023";"371905"
"01/06/2023";"369690"
"01/07/2023";"377601"
"01/08/2023";"381719"
"01/09/2023";"378439"
"01/10/2023";"386496"
"01/11/2023";"404534"
"01/12/2023";"413925"
"01/01/2024";"415002"
"01/02/2024";"402350"
"01/03/2024";"403469"
"01/04/2024";"407465"
"01/05/2024";"415735"
"01/06/2024";"416046"
"01/07/2024";"427735"
"01/08/2024";"428347"
"01/09/2024";"431323"
"01/10/2024";"440407"
"01/11/2024";"456369"
"01/12/2024";"477626"
"01/01/2025";"473541"
"01/02/2025";"462033"
"01/03/2025";"470786"
"01/04/2025";"471522"
"01/05/2025";"479757"
"01/06/2025";"483394"
"01/07/2025";"494516"
"01/08/2025";"494722"
"01/09/2025";"499178"
"01/10/2025";"507385"
"01/11/2025";"516146"
