"data";"valor"
"01/03/2007";"3520"
"01/04/2007";"3685"
"01/05/2007";"3697"
"01/06/2007";"3743"
"01/07/2007";"3806"
"01/08/2007";"3879"
"01/09/2007";"3932"
"01/10/2007";"4013"
"01/11/2007";"4153"
"01/12/2007";"4044"
"01/01/2008";"4177"
"01/02/2008";"4362"
"01/03/2008";"4459"
"01/04/2008";"4614"
"01/05/2008";"4700"
"01/06/2008";"4774"
"01/07/2008";"4821"
"01/08/2008";"4907"
"01/09/2008";"4990"
"01/10/2008";"5151"
"01/11/2008";"5340"
"01/12/2008";"5209"
"01/01/2009";"5428"
"01/02/2009";"5739"
"01/03/2009";"5898"
"01/04/2009";"5988"
"01/05/2009";"5975"
"01/06/2009";"5987"
"01/07/2009";"5931"
"01/08/2009";"5968"
"01/09/2009";"6045"
"01/10/2009";"6018"
"01/11/2009";"6267"
"01/12/2009";"6053"
"01/01/2010";"6331"
"01/02/2010";"6507"
"01/03/2010";"6361"
"01/04/2010";"6476"
"01/05/2010";"6675"
"01/06/2010";"6733"
"01/07/2010";"6820"
"01/08/2010";"6803"
"01/09/2010";"6834"
"01/10/2010";"7044"
"01/11/2010";"7033"
"01/12/2010";"6879"
"01/01/2011";"7176"
"01/02/2011";"7515"
"01/03/2011";"7537"
"01/04/2011";"7404"
"01/05/2011";"7775"
"01/06/2011";"7898"
"01/07/2011";"8217"
"01/08/2011";"8465"
"01/09/2011";"8440"
"01/10/2011";"8231"
"01/11/2011";"8503"
"01/12/2011";"8917"
"01/01/2012";"9182"
"01/02/2012";"9243"
"01/03/2012";"9359"
"01/04/2012";"8823"
"01/05/2012";"9147"
"01/06/2012";"9363"
"01/07/2012";"9607"
"01/08/2012";"9514"
"01/09/2012";"9567"
"01/10/2012";"9709"
"01/11/2012";"9793"
"01/12/2012";"9845"
"01/01/2013";"9881"
"01/02/2013";"9882"
"01/03/2013";"9892"
"01/04/2013";"10005"
"01/05/2013";"9910"
"01/06/2013";"9845"
"01/07/2013";"9910"
"01/08/2013";"10464"
"01/09/2013";"10663"
"01/10/2013";"10673"
"01/11/2013";"10561"
"01/12/2013";"10647"
"01/01/2014";"10872"
"01/02/2014";"11105"
"01/03/2014";"11274"
"01/04/2014";"11653"
"01/05/2014";"11868"
"01/06/2014";"11944"
"01/07/2014";"12087"
"01/08/2014";"12231"
"01/09/2014";"12125"
"01/10/2014";"11869"
"01/11/2014";"11787"
"01/12/2014";"11771"
"01/01/2015";"11914"
"01/02/2015";"12087"
"01/03/2015";"12305"
