"data";"valor"
"01/03/2007";"11407"
"01/04/2007";"11942"
"01/05/2007";"11980"
"01/06/2007";"12130"
"01/07/2007";"12334"
"01/08/2007";"12569"
"01/09/2007";"12742"
"01/10/2007";"13003"
"01/11/2007";"13457"
"01/12/2007";"13106"
"01/01/2008";"13534"
"01/02/2008";"14136"
"01/03/2008";"14451"
"01/04/2008";"14952"
"01/05/2008";"15230"
"01/06/2008";"15471"
"01/07/2008";"15621"
"01/08/2008";"15900"
"01/09/2008";"16171"
"01/10/2008";"16691"
"01/11/2008";"17303"
"01/12/2008";"16879"
"01/01/2009";"17590"
"01/02/2009";"18597"
"01/03/2009";"19113"
"01/04/2009";"19403"
"01/05/2009";"19360"
"01/06/2009";"19399"
"01/07/2009";"19220"
"01/08/2009";"19339"
"01/09/2009";"19590"
"01/10/2009";"19501"
"01/11/2009";"20307"
"01/12/2009";"19616"
"01/01/2010";"20514"
"01/02/2010";"21086"
"01/03/2010";"20614"
"01/04/2010";"20986"
"01/05/2010";"21631"
"01/06/2010";"21817"
"01/07/2010";"22099"
"01/08/2010";"22045"
"01/09/2010";"22145"
"01/10/2010";"22826"
"01/11/2010";"22789"
"01/12/2010";"22291"
"01/01/2011";"23254"
"01/02/2011";"24352"
"01/03/2011";"24356"
"01/04/2011";"25202"
"01/05/2011";"24286"
"01/06/2011";"23960"
"01/07/2011";"24035"
"01/08/2011";"23842"
"01/09/2011";"24648"
"01/10/2011";"24936"
"01/11/2011";"25474"
"01/12/2011";"24115"
"01/01/2012";"24848"
"01/02/2012";"25622"
"01/03/2012";"25384"
"01/04/2012";"25859"
"01/05/2012";"25837"
"01/06/2012";"25911"
"01/07/2012";"25295"
"01/08/2012";"25283"
"01/09/2012";"26162"
"01/10/2012";"25027"
"01/11/2012";"25090"
"01/12/2012";"24412"
"01/01/2013";"24595"
"01/02/2013";"25967"
"01/03/2013";"26060"
"01/04/2013";"25729"
"01/05/2013";"25745"
"01/06/2013";"26404"
"01/07/2013";"25976"
"01/08/2013";"25875"
"01/09/2013";"26474"
"01/10/2013";"25880"
"01/11/2013";"26542"
"01/12/2013";"25566"
"01/01/2014";"26223"
"01/02/2014";"28059"
"01/03/2014";"27926"
"01/04/2014";"28543"
"01/05/2014";"28261"
"01/06/2014";"29478"
"01/07/2014";"28578"
"01/08/2014";"28664"
"01/09/2014";"29247"
"01/10/2014";"29462"
"01/11/2014";"29666"
"01/12/2014";"28513"
"01/01/2015";"29640"
"01/02/2015";"31721"
"01/03/2015";"30650"
"01/04/2015";"31597"
"01/05/2015";"32349"
"01/06/2015";"31953"
"01/07/2015";"31963"
"01/08/2015";"32385"
"01/09/2015";"33157"
"01/10/2015";"34060"
"01/11/2015";"35842"
"01/12/2015";"34511"
"01/01/2016";"35837"
"01/02/2016";"37055"
"01/03/2016";"36393"
"01/04/2016";"37180"
"01/05/2016";"37359"
"01/06/2016";"38014"
"01/07/2016";"38229"
"01/08/2016";"38361"
"01/09/2016";"39057"
"01/10/2016";"39134"
"01/11/2016";"39432"
"01/12/2016";"38138"
"01/01/2017";"38910"
"01/02/2017";"41326"
"01/03/2017";"38871"
"01/04/2017";"38785"
"01/05/2017";"36158"
"01/06/2017";"34848"
"01/07/2017";"34471"
"01/08/2017";"33755"
"01/09/2017";"33603"
"01/10/2017";"33946"
"01/11/2017";"34529"
"01/12/2017";"33002"
"01/01/2018";"33325"
"01/02/2018";"35010"
"01/03/2018";"33797"
"01/04/2018";"34798"
"01/05/2018";"34135"
"01/06/2018";"34569"
"01/07/2018";"33659"
"01/08/2018";"33580"
"01/09/2018";"33537"
"01/10/2018";"33542"
"01/11/2018";"34942"
"01/12/2018";"34280"
"01/01/2019";"35188"
"01/02/2019";"36814"
"01/03/2019";"36138"
"01/04/2019";"37193"
"01/05/2019";"37371"
"01/06/2019";"38336"
"01/07/2019";"38149"
"01/08/2019";"39785"
"01/09/2019";"40994"
"01/10/2019";"40546"
"01/11/2019";"41447"
"01/12/2019";"41140"
"01/01/2020";"42119"
"01/02/2020";"43643"
"01/03/2020";"40846"
"01/04/2020";"41791"
"01/05/2020";"39642"
"01/06/2020";"38063"
"01/07/2020";"36866"
"01/08/2020";"35272"
"01/09/2020";"34241"
"01/10/2020";"33315"
"01/11/2020";"33573"
"01/12/2020";"30746"
"01/01/2021";"31367"
"01/02/2021";"33122"
"01/03/2021";"31255"
"01/04/2021";"31985"
"01/05/2021";"32830"
"01/06/2021";"33871"
"01/07/2021";"33793"
"01/08/2021";"35448"
"01/09/2021";"37445"
"01/10/2021";"39978"
"01/11/2021";"43455"
"01/12/2021";"44098"
"01/01/2022";"48290"
"01/02/2022";"53481"
"01/03/2022";"52195"
"01/04/2022";"55394"
"01/05/2022";"57585"
"01/06/2022";"59448"
"01/07/2022";"61759"
"01/08/2022";"64826"
"01/09/2022";"68629"
"01/10/2022";"70353"
"01/11/2022";"73233"
"01/12/2022";"71998"
