"data";"valor"
"01/03/2007";"31285"
"01/04/2007";"32182"
"01/05/2007";"34066"
"01/06/2007";"34476"
"01/07/2007";"36182"
"01/08/2007";"36145"
"01/09/2007";"36310"
"01/10/2007";"37646"
"01/11/2007";"38949"
"01/12/2007";"41866"
"01/01/2008";"41643"
"01/02/2008";"41172"
"01/03/2008";"43929"
"01/04/2008";"46616"
"01/05/2008";"48429"
"01/06/2008";"49257"
"01/07/2008";"50428"
"01/08/2008";"50853"
"01/09/2008";"51533"
"01/10/2008";"53221"
"01/11/2008";"53722"
"01/12/2008";"59409"
"01/01/2009";"56747"
"01/02/2009";"57377"
"01/03/2009";"58037"
"01/04/2009";"59183"
"01/05/2009";"65788"
"01/06/2009";"67458"
"01/07/2009";"68126"
"01/08/2009";"68778"
"01/09/2009";"69896"
"01/10/2009";"71376"
"01/11/2009";"74006"
"01/12/2009";"79810"
"01/01/2010";"78878"
"01/02/2010";"77167"
"01/03/2010";"77728"
"01/04/2010";"78331"
"01/05/2010";"81802"
"01/06/2010";"82405"
"01/07/2010";"84032"
"01/08/2010";"86133"
"01/09/2010";"86363"
"01/10/2010";"88672"
"01/11/2010";"92881"
"01/12/2010";"100065"
"01/01/2011";"99076"
"01/02/2011";"97506"
"01/03/2011";"97502"
"01/04/2011";"98146"
"01/05/2011";"100054"
"01/06/2011";"100518"
"01/07/2011";"101791"
"01/08/2011";"103553"
"01/09/2011";"104059"
"01/10/2011";"105203"
"01/11/2011";"108797"
"01/12/2011";"114120"
"01/01/2012";"113170"
"01/02/2012";"110074"
"01/03/2012";"110460"
"01/04/2012";"111247"
"01/05/2012";"114464"
"01/06/2012";"114131"
"01/07/2012";"115748"
"01/08/2012";"115955"
"01/09/2012";"114936"
"01/10/2012";"117291"
"01/11/2012";"119549"
"01/12/2012";"126732"
"01/01/2013";"126472"
"01/02/2013";"122348"
"01/03/2013";"122427"
"01/04/2013";"124114"
"01/05/2013";"126978"
"01/06/2013";"125907"
"01/07/2013";"129692"
"01/08/2013";"130256"
"01/09/2013";"131790"
"01/10/2013";"134043"
"01/11/2013";"135605"
"01/12/2013";"145013"
"01/01/2014";"144346"
"01/02/2014";"140127"
"01/03/2014";"142056"
"01/04/2014";"141780"
"01/05/2014";"144053"
"01/06/2014";"144703"
"01/07/2014";"145535"
"01/08/2014";"145928"
"01/09/2014";"148012"
"01/10/2014";"150575"
"01/11/2014";"150552"
"01/12/2014";"161405"
"01/01/2015";"161217"
"01/02/2015";"155798"
"01/03/2015";"156382"
"01/04/2015";"155198"
"01/05/2015";"157428"
"01/06/2015";"158294"
"01/07/2015";"159904"
"01/08/2015";"160515"
"01/09/2015";"159038"
"01/10/2015";"160508"
"01/11/2015";"166954"
"01/12/2015";"173729"
"01/01/2016";"170126"
"01/02/2016";"167312"
"01/03/2016";"166587"
"01/04/2016";"164368"
"01/05/2016";"168770"
"01/06/2016";"169686"
"01/07/2016";"170330"
"01/08/2016";"174436"
"01/09/2016";"173634"
"01/10/2016";"175996"
"01/11/2016";"181450"
"01/12/2016";"186425"
"01/01/2017";"184884"
"01/02/2017";"180327"
"01/03/2017";"181605"
"01/04/2017";"178842"
"01/05/2017";"183342"
"01/06/2017";"183813"
"01/07/2017";"188185"
"01/08/2017";"188944"
"01/09/2017";"187405"
"01/10/2017";"191796"
"01/11/2017";"199772"
"01/12/2017";"204970"
"01/01/2018";"206162"
"01/02/2018";"199198"
"01/03/2018";"200159"
"01/04/2018";"202935"
"01/05/2018";"205826"
"01/06/2018";"205428"
"01/07/2018";"210123"
"01/08/2018";"213663"
"01/09/2018";"210295"
"01/10/2018";"216429"
"01/11/2018";"228802"
"01/12/2018";"237581"
"01/01/2019";"237322"
"01/02/2019";"231387"
"01/03/2019";"232784"
"01/04/2019";"236600"
"01/05/2019";"242673"
"01/06/2019";"241332"
"01/07/2019";"250067"
"01/08/2019";"253648"
"01/09/2019";"255936"
"01/10/2019";"260591"
"01/11/2019";"267337"
"01/12/2019";"280372"
"01/01/2020";"277657"
"01/02/2020";"270563"
"01/03/2020";"261762"
"01/04/2020";"236805"
"01/05/2020";"232028"
"01/06/2020";"235428"
"01/07/2020";"242320"
"01/08/2020";"248834"
"01/09/2020";"255372"
"01/10/2020";"260542"
"01/11/2020";"277953"
"01/12/2020";"284293"
"01/01/2021";"277544"
"01/02/2021";"274239"
"01/03/2021";"275916"
"01/04/2021";"278337"
"01/05/2021";"292214"
"01/06/2021";"300393"
"01/07/2021";"309672"
"01/08/2021";"321344"
"01/09/2021";"331873"
"01/10/2021";"347233"
"01/11/2021";"377223"
"01/12/2021";"390879"
"01/01/2022";"390806"
"01/02/2022";"392140"
"01/03/2022";"409579"
"01/04/2022";"417794"
"01/05/2022";"433476"
"01/06/2022";"440298"
"01/07/2022";"447848"
"01/08/2022";"455766"
"01/09/2022";"459380"
"01/10/2022";"468521"
"01/11/2022";"484553"
"01/12/2022";"492114"
"01/01/2023";"492040"
"01/02/2023";"483873"
"01/03/2023";"496502"
"01/04/2023";"493440"
"01/05/2023";"505203"
"01/06/2023";"501101"
"01/07/2023";"507876"
"01/08/2023";"512323"
"01/09/2023";"504967"
"01/10/2023";"514986"
"01/11/2023";"535374"
"01/12/2023";"542168"
"01/01/2024";"544136"
"01/02/2024";"533866"
"01/03/2024";"536243"
"01/04/2024";"542935"
"01/05/2024";"549437"
"01/06/2024";"550273"
"01/07/2024";"561728"
"01/08/2024";"562771"
"01/09/2024";"565215"
"01/10/2024";"572952"
"01/11/2024";"590010"
"01/12/2024";"610310"
"01/01/2025";"613282"
"01/02/2025";"605255"
