"data";"valor"
"01/03/2007";"17035"
"01/04/2007";"17455"
"01/05/2007";"17244"
"01/06/2007";"16829"
"01/07/2007";"17301"
"01/08/2007";"16700"
"01/09/2007";"16597"
"01/10/2007";"16839"
"01/11/2007";"16732"
"01/12/2007";"15173"
"01/01/2008";"16333"
"01/02/2008";"17236"
"01/03/2008";"17517"
"01/04/2008";"18252"
"01/05/2008";"18202"
"01/06/2008";"18161"
"01/07/2008";"17971"
"01/08/2008";"17998"
"01/09/2008";"18506"
"01/10/2008";"19857"
"01/11/2008";"19434"
"01/12/2008";"18907"
"01/01/2009";"20027"
"01/02/2009";"20592"
"01/03/2009";"21073"
"01/04/2009";"21373"
"01/05/2009";"20857"
"01/06/2009";"21060"
"01/07/2009";"20459"
"01/08/2009";"20820"
"01/09/2009";"20872"
"01/10/2009";"20703"
"01/11/2009";"20058"
"01/12/2009";"18167"
"01/01/2010";"19044"
"01/02/2010";"19379"
"01/03/2010";"19976"
"01/04/2010";"20084"
"01/05/2010";"20169"
"01/06/2010";"20065"
"01/07/2010";"19498"
"01/08/2010";"19751"
"01/09/2010";"19615"
"01/10/2010";"19638"
"01/11/2010";"19935"
"01/12/2010";"18257"
"01/01/2011";"20296"
"01/02/2011";"21520"
"01/03/2011";"21204"
"01/04/2011";"21579"
"01/05/2011";"22187"
"01/06/2011";"22484"
"01/07/2011";"21550"
"01/08/2011";"22468"
"01/09/2011";"22628"
"01/10/2011";"23487"
"01/11/2011";"22977"
"01/12/2011";"20864"
"01/01/2012";"23321"
"01/02/2012";"24219"
"01/03/2012";"24125"
"01/04/2012";"24967"
"01/05/2012";"24438"
"01/06/2012";"23766"
"01/07/2012";"24044"
"01/08/2012";"23861"
"01/09/2012";"23462"
"01/10/2012";"24103"
"01/11/2012";"23522"
"01/12/2012";"21791"
"01/01/2013";"23546"
"01/02/2013";"24292"
"01/03/2013";"23687"
"01/04/2013";"24617"
"01/05/2013";"24468"
"01/06/2013";"23725"
"01/07/2013";"24197"
"01/08/2013";"24314"
"01/09/2013";"25250"
"01/10/2013";"25252"
"01/11/2013";"24453"
"01/12/2013";"23470"
"01/01/2014";"25049"
"01/02/2014";"25320"
"01/03/2014";"26672"
"01/04/2014";"27260"
"01/05/2014";"27009"
"01/06/2014";"27750"
"01/07/2014";"26868"
"01/08/2014";"26616"
"01/09/2014";"27113"
"01/10/2014";"26946"
"01/11/2014";"25951"
"01/12/2014";"24651"
"01/01/2015";"26612"
"01/02/2015";"26927"
"01/03/2015";"27359"
"01/04/2015";"27601"
"01/05/2015";"27157"
"01/06/2015";"27758"
"01/07/2015";"27114"
"01/08/2015";"27801"
"01/09/2015";"27608"
"01/10/2015";"27644"
"01/11/2015";"27329"
"01/12/2015";"24714"
"01/01/2016";"26093"
"01/02/2016";"27687"
"01/03/2016";"27284"
"01/04/2016";"26410"
"01/05/2016";"26856"
"01/06/2016";"26281"
"01/07/2016";"25474"
"01/08/2016";"26068"
"01/09/2016";"26284"
"01/10/2016";"26915"
"01/11/2016";"26095"
"01/12/2016";"23367"
"01/01/2017";"25544"
"01/02/2017";"24136"
"01/03/2017";"25314"
"01/04/2017";"24855"
"01/05/2017";"25027"
"01/06/2017";"24669"
"01/07/2017";"24634"
"01/08/2017";"24558"
"01/09/2017";"23860"
"01/10/2017";"25272"
"01/11/2017";"24696"
"01/12/2017";"21770"
"01/01/2018";"24380"
"01/02/2018";"25211"
"01/03/2018";"24140"
"01/04/2018";"24627"
"01/05/2018";"24207"
"01/06/2018";"23970"
"01/07/2018";"23933"
"01/08/2018";"23430"
"01/09/2018";"22754"
"01/10/2018";"24376"
"01/11/2018";"24037"
"01/12/2018";"21982"
"01/01/2019";"24164"
"01/02/2019";"24870"
"01/03/2019";"24479"
"01/04/2019";"25691"
"01/05/2019";"25433"
"01/06/2019";"25806"
"01/07/2019";"26126"
"01/08/2019";"26146"
"01/09/2019";"26370"
"01/10/2019";"26384"
"01/11/2019";"25501"
"01/12/2019";"24152"
"01/01/2020";"25672"
"01/02/2020";"26632"
"01/03/2020";"25899"
"01/04/2020";"24650"
"01/05/2020";"22237"
"01/06/2020";"21566"
"01/07/2020";"19956"
"01/08/2020";"19826"
"01/09/2020";"19445"
"01/10/2020";"19519"
"01/11/2020";"19383"
"01/12/2020";"17815"
"01/01/2021";"19496"
"01/02/2021";"20270"
"01/03/2021";"20487"
"01/04/2021";"20859"
"01/05/2021";"21842"
"01/06/2021";"21898"
"01/07/2021";"21558"
"01/08/2021";"22397"
"01/09/2021";"23434"
"01/10/2021";"23458"
"01/11/2021";"24725"
"01/12/2021";"22811"
"01/01/2022";"26048"
"01/02/2022";"25573"
"01/03/2022";"27123"
"01/04/2022";"27576"
"01/05/2022";"28496"
"01/06/2022";"28687"
"01/07/2022";"28457"
"01/08/2022";"29680"
"01/09/2022";"29840"
"01/10/2022";"31117"
"01/11/2022";"30766"
"01/12/2022";"28591"
"01/01/2023";"31758"
"01/02/2023";"33126"
"01/03/2023";"31947"
"01/04/2023";"32257"
"01/05/2023";"33494"
"01/06/2023";"32744"
"01/07/2023";"32766"
"01/08/2023";"34350"
"01/09/2023";"34143"
"01/10/2023";"34575"
"01/11/2023";"34043"
"01/12/2023";"31166"
"01/01/2024";"34637"
"01/02/2024";"35779"
"01/03/2024";"34978"
"01/04/2024";"35987"
"01/05/2024";"35155"
"01/06/2024";"33872"
"01/07/2024";"34681"
"01/08/2024";"34912"
"01/09/2024";"36670"
"01/10/2024";"36837"
"01/11/2024";"36131"
"01/12/2024";"35124"
"01/01/2025";"38308"
"01/02/2025";"39019"
"01/03/2025";"40398"
"01/04/2025";"41277"
"01/05/2025";"40674"
"01/06/2025";"41223"
"01/07/2025";"40874"
"01/08/2025";"41160"
"01/09/2025";"42557"
"01/10/2025";"42908"
"01/11/2025";"42191"
