"data";"valor"
"01/03/2007";"348401"
"01/04/2007";"357052"
"01/05/2007";"367295"
"01/06/2007";"374977"
"01/07/2007";"385390"
"01/08/2007";"392862"
"01/09/2007";"401403"
"01/10/2007";"413781"
"01/11/2007";"423966"
"01/12/2007";"431865"
"01/01/2008";"439854"
"01/02/2008";"445183"
"01/03/2008";"456737"
"01/04/2008";"469437"
"01/05/2008";"481067"
"01/06/2008";"489499"
"01/07/2008";"495983"
"01/08/2008";"503962"
"01/09/2008";"514202"
"01/10/2008";"524889"
"01/11/2008";"527421"
"01/12/2008";"534213"
"01/01/2009";"537046"
"01/02/2009";"536225"
"01/03/2009";"542887"
"01/04/2009";"551333"
"01/05/2009";"563782"
"01/06/2009";"573227"
"01/07/2009";"579386"
"01/08/2009";"588539"
"01/09/2009";"600032"
"01/10/2009";"608549"
"01/11/2009";"615678"
"01/12/2009";"626556"
"01/01/2010";"635960"
"01/02/2010";"642199"
"01/03/2010";"654170"
"01/04/2010";"664048"
"01/05/2010";"677815"
"01/06/2010";"685682"
"01/07/2010";"700012"
"01/08/2010";"713615"
"01/09/2010";"727421"
"01/10/2010";"741319"
"01/11/2010";"758646"
"01/12/2010";"775797"
"01/01/2011";"785244"
"01/02/2011";"793544"
"01/03/2011";"800794"
"01/04/2011";"811662"
"01/05/2011";"825658"
"01/06/2011";"838136"
"01/07/2011";"849018"
"01/08/2011";"869039"
"01/09/2011";"881931"
"01/10/2011";"893987"
"01/11/2011";"908586"
"01/12/2011";"921598"
"01/01/2012";"934121"
"01/02/2012";"941121"
"01/03/2012";"953171"
"01/04/2012";"964854"
"01/05/2012";"980828"
"01/06/2012";"994137"
"01/07/2012";"1004184"
"01/08/2012";"1022556"
"01/09/2012";"1025645"
"01/10/2012";"1041511"
"01/11/2012";"1056237"
"01/12/2012";"1076471"
"01/01/2013";"1088275"
"01/02/2013";"1094775"
"01/03/2013";"1108015"
"01/04/2013";"1124846"
"01/05/2013";"1143984"
"01/06/2013";"1160114"
"01/07/2013";"1173994"
"01/08/2013";"1190495"
"01/09/2013";"1202447"
"01/10/2013";"1212482"
"01/11/2013";"1227984"
"01/12/2013";"1249372"
"01/01/2014";"1263128"
"01/02/2014";"1270206"
"01/03/2014";"1281603"
"01/04/2014";"1294198"
"01/05/2014";"1311184"
"01/06/2014";"1324777"
"01/07/2014";"1333060"
"01/08/2014";"1348138"
"01/09/2014";"1361005"
"01/10/2014";"1378381"
"01/11/2014";"1390556"
"01/12/2014";"1416065"
"01/01/2015";"1430120"
"01/02/2015";"1433769"
"01/03/2015";"1445141"
"01/04/2015";"1453221"
"01/05/2015";"1461804"
"01/06/2015";"1469882"
"01/07/2015";"1475360"
"01/08/2015";"1486592"
